Date,Model,Batch,Mode,EVA16(kg),EVA25(kg),LDPE24(kg),LDPE40(kg),POE(kg),AC_PE_MB(kg),AC_EVA_MB(kg),DCP(kg),ZnO(kg),Urea(kg),BHT(kg),Filler_MB(kg),Color_MB(kg),ATH(kg),BrSb_MB(kg),CP70(kg),Powder(kg),PEG4000(kg),HALS(kg),EVA16_VA%,EVA25_VA%,Weighted_VA%,Effective_VA%,Temp1(°C),Time1(min),Temp2(°C),Time2(min),MixTime(min),RotorSpeed(rpm),AC(phr),DCP(phr),BHT(phr),ZnO(phr),Urea(phr),BaseDCPNeed(phr),EffectiveDCP(phr),DCP_SupplyRatio%,CrosslinkIndex,CrosslinkEff,CI_Min,CI_Max,CI_OptimalLow,CI_OptimalHigh,TheoDensity,PredDensity,PredExpansion,Quality_Score,Warning_Count,Warnings
"2026-02-26","2000AHH","灰423U","production","","","22","15","","14.3","","0.585","0.165","0.055","0.05","5","0.54","","","","","0.16","","16","25","16.00","","149.5","30","164","25","18","55","15.61","1.277","0.109","0.360","0.120","0.896","0.896","123.9","1.130","1.001","0.692","1.277","0.867","1.101","1.0269","0.0433","23.73","100","0",""
"2026-02-26","2000AHH","寶藍293U","production","","","19","15","","14","","0.57","0.17","0.05","0.05","5","7.63","","","","","0.16","","16","25","16.00","","149.5","30","164","25","18","55","14.59","1.188","0.104","0.354","0.104","1.096","1.096","93.9","0.859","1.004","0.671","1.239","0.841","1.069","1.0412","0.0465","22.40","100","0",""
"2026-02-26","2000AHH","深紫266C","production","","","25","10","","14.3","","0.57","0.17","0.06","0.05","5","4.73","","","","","0.16","","16","25","16.00","","149.2","26","164","25","18","55","15.23","1.214","0.107","0.362","0.128","1.017","1.017","103.4","0.912","1.003","0.681","1.258","0.854","1.085","1.0364","0.0445","23.27","100","0",""
"2026-02-26","2000","膚4675C","production","","","18","12","","11","","0.445","0.165","0.045","0.04","5","0.3","","","","","0.16","","16","25","16.00","","150.8","26","164","25","18","55","14.87","1.204","0.108","0.446","0.122","0.893","0.893","116.4","1.059","1.001","0.692","1.277","0.867","1.101","1.0343","0.0457","22.65","92","1","[Warning] 混練Discharge Temperature(120°C)接近AC有效分解溫度(114°C)，AC可能提前分解"
"2026-02-26","2000","黑7U","production","","","17.7","12","","11","","0.43","0.16","0.035","0.04","5","0.9","","","","","0.16","","16","25","16.00","","151","26","164","25","18","55","14.81","1.158","0.108","0.431","0.094","0.915","0.915","108.7","0.994","1.001","0.692","1.277","0.867","1.101","1.0361","0.0461","22.47","100","0",""
"2026-02-26","2000","淺灰430U","production","","","15.3","14","","11","","0.415","0.165","0.035","0.04","5.78","0.4","","","","0.78","0.16","","16","25","16.00","","153.5","26","164","25","18","55","15.05","1.136","0.109","0.451","0.096","0.898","0.898","107.9","1.023","1.001","0.692","1.277","0.867","1.101","1.0543","0.0469","22.48","100","0",""
"2026-02-26","2000","灰","production","","","19.7","10","","11","","0.415","0.165","0.03","0.04","5.36","0.86","","","","","0.16","","16","25","16.00","","151","26","164","25","18","55","14.79","1.116","0.108","0.444","0.081","0.914","0.914","104.2","0.953","1.001","0.692","1.277","0.867","1.101","1.0395","0.0465","22.33","100","0",""
"2026-02-26","2000","綠367C","production","","","18.5","10","","11","","0.435","0.17","0.04","0.04","5","3.73","","","","","0.16","","16","25","16.00","","151","26","164","25","18","55","14.46","1.143","0.105","0.447","0.105","1.015","1.015","96.9","0.887","1.003","0.682","1.259","0.855","1.085","1.0433","0.0473","22.08","100","0",""
"2026-02-26","2000","綠571U","production","","","19.7","10","","10.8","","0.42","0.165","0.03","0.04","5","0.34","","","","","0.16","","16","25","16.00","","151","26","164","25","18","55","14.75","1.147","0.109","0.451","0.082","0.894","0.894","109.7","1.002","1.001","0.692","1.277","0.867","1.101","1.0346","0.0463","22.33","100","0",""
"2026-02-26","2000","綠377U","production","","","17","10","","11.2","","0.45","0.16","0.025","0.04","5","5.07","","","","","0.16","","16","25","16.00","","151","26","164","25","18","55","14.87","1.195","0.106","0.425","0.066","1.064","1.064","97.1","0.889","1.003","0.675","1.247","0.847","1.075","1.0499","0.0468","22.44","100","0",""
"2026-02-26","2000","草綠346U","production","","","15","14","","11.2","","0.43","0.14","0.025","0.04","5","1.45","","","","","0.16","","16","25","16.00","","149.5","26","164","25","18","55","15.16","1.164","0.108","0.379","0.068","0.935","0.935","106.9","0.948","1.002","0.692","1.277","0.867","1.101","1.0393","0.0456","22.78","100","0",""
"2026-02-26","2000","藍300U","production","","","19","8","","11.2","","0.43","0.17","0.04","0.04","5","4.43","","","","","0.16","","16","25","16.00","","150","26","164","25","18","55","15.06","1.157","0.108","0.457","0.108","1.044","1.044","95.1","0.855","1.003","0.678","1.252","0.850","1.080","1.0491","0.0459","22.84","100","0",""
"2026-02-26","2000","藍2945U","production","","","14.6","11","","11","","0.43","0.18","0.03","0.04","5","7.37","","","","","0.16","","16","25","16.00","","151","26","164","25","18","55","14.52","1.135","0.106","0.475","0.079","1.146","1.146","85.0","0.780","1.005","0.665","1.228","0.834","1.059","1.0563","0.0479","22.06","92","1","[Warning] ZnO/AC比Too High(3.27%)，DCP供需比僅85%，交聯-發泡可能失衡"
"2026-02-26","2000","紫271U","production","","","23.8","5","","11","","0.42","0.15","0.03","0.04","5","1.86","","","","","0.16","","16","25","16.00","","151.5","26","164","25","18","55","14.89","1.137","0.108","0.406","0.081","0.950","0.950","102.3","0.944","1.002","0.690","1.274","0.865","1.099","1.0399","0.0462","22.50","100","0",""
"2026-02-26","2000","深粉紅211U","production","","","17.1","12","","11","","0.43","0.15","0.02","0.04","5","1","","","","","0.16","","16","25","16.00","","151.5","26","164","25","18","55","15.03","1.175","0.109","0.410","0.055","0.919","0.919","109.7","1.012","1.001","0.692","1.277","0.867","1.101","1.0379","0.0460","22.56","100","0",""
"2026-02-26","2000","特黑06C","production","","","21.4","5","","11","","0.42","0.15","0.07","0.04","5","5.2","","","","","0.16","","16","25","16.00","","151.7","26","164","25","18","55","14.84","1.134","0.108","0.405","0.189","1.072","1.072","90.4","0.838","1.004","0.674","1.245","0.845","1.074","1.0514","0.0461","22.81","92","1","[Warning] 混練Discharge Temperature(120°C)接近AC有效分解溫度(109°C)，AC可能提前分解"
