Date,Model,Batch,Mode,EVA16(kg),EVA25(kg),LDPE24(kg),LDPE40(kg),POE(kg),AC_PE_MB(kg),AC_EVA_MB(kg),DCP(kg),ZnO(kg),Urea(kg),BHT(kg),Filler_MB(kg),Color_MB(kg),Color1_Type,Color1_kg,Color2_Type,Color2_kg,Color3_Type,Color3_kg,ATH(kg),BrSb_MB(kg),CP70(kg),Powder(kg),PEG4000(kg),HALS(kg),EVA16_VA%,EVA25_VA%,Weighted_VA%,Effective_VA%,Temp1(°C),Time1(min),Temp2(°C),Time2(min),MixTime(min),RotorSpeed(rpm),AC(phr),DCP(phr),BHT(phr),ZnO(phr),Urea(phr),BaseDCPNeed(phr),EffectiveDCP(phr),DCP_SupplyRatio%,CrosslinkIndex,CrosslinkEff,CI_Min,CI_Max,CI_OptimalLow,CI_OptimalHigh,TheoDensity,PredDensity,PredExpansion,Quality_Score,Warning_Count,DosageTemp,DischargeTemp,ResinType,QI_Percent,e1_FT,e2_FTi,e3_TTi,e4_FR,e5_TR,e6_TiR,FaceA_CV,FaceB_CV,FaceC_CV,FaceD_CV,Mahalanobis_Dist,Confidence_Zone,Warnings
"2026-02-26","2500AHH","特黑","production","","","21.2","10","","14","","0.535","0.185","0.05","0.05","5","4.9","EVA-7505_1.38_cb45","4.9","","","","","","","","","0.16","","16","25","16.00","0.00","148.5","30","164","25","18","55","16.23","1.241","0.116","0.429","0.116","1.000","1.000","107.7","0.920","1.002","0.751","1.290","0.913","1.129","1.0448","0.0425","24.88","93","2","100","130","ldpe_only","32","0.972","0.100","0.753","0.810","0.922","1.000","","","","","2.79","yellow","[Mild] AC/DCP比稍偏低(13.1)，最適Range 14.8~21.6@25X; [Info] Discharge Temperature(130°C)接近AC有效分解溫度(119°C)，少量AC可能提前分解(~12.1%)"
"2026-02-26","2500AHH","白","production","","","23.2","10","","14","","0.51","0.14","0.04","0.05","5.65","","EVA-5504N-1_1.506_org23","0.003","","","","","","","","0.65","0.16","","16","25","16.00","0.00","149.5","30","164","25","18","55","16.82","1.226","0.120","0.336","0.096","0.831","0.831","140.0","1.212","1.002","0.784","1.348","0.953","1.178","1.0469","0.0354","29.65","100","0","100","129","ldpe_only","65","0.999","0.999","0.747","0.722","0.636","0.880","","","","","2.52","yellow",""
"2026-02-26","251","白","production","13.2","","","10.8","","","10.8","0.415","0.12","0.02","0.02","4","","EVA-5504N-1_1.506_org23","0.002","","","","","","","","0.5","0.16","","16","25","16.00","0.00","143.3","26","164","25","18","55","17.76","1.365","0.066","0.395","0.066","0.876","0.876","123.5","1.074","1.005","0.676","1.248","0.848","1.076","1.0569","0.0361","29.42","84","2","100","126","eva_ldpe","77","1.000","0.854","0.743","0.808","0.936","1.000","","","","","1.74","green","[Mild] AC/DCP比稍偏低(15.7)，最適Range 16.4~23.2@29X; [Info] Discharge Temperature(130°C)接近AC有效分解溫度(122°C)，少量AC可能提前分解(~9.7%)"
"2026-02-26","282-1","黑","production","3.7","","18.6","","","12.6","","0.35","0.12","0.035","0.03","3.4","0.61","EVA-8503_1.33_cb37","0.61","","","","","","","","","0.135","","16","25","16.00","0.00","147.7","26","164","25","18","55","21.12","1.173","0.101","0.402","0.117","0.837","0.837","134.3","1.186","1.003","0.784","1.348","0.953","1.178","1.0494","0.0354","29.79","100","1","100","127","eva_ldpe","81","0.945","0.996","0.772","0.981","0.837","0.974","","","","","0.92","green","[Mild] AC/DCP比稍偏低(15.5)，最適Range 16.7~23.5@30X"
"2026-02-26","282-1","白","production","6.8","","12.2","3.4","","12.2","","0.33","0.1","0.025","0.02","3.4","","EVA-5504N-1_1.506_org23","0.002","","","","","","","","0.4","0.135","","16","25","16.00","0.00","147.7","26","164","25","18","55","20.78","1.124","0.068","0.341","0.085","0.835","0.835","134.1","1.186","1.003","0.784","1.348","0.953","1.178","1.0532","0.0357","29.40","100","1","100","126","eva_ldpe","82","0.945","1.000","0.772","0.949","0.850","0.974","","","","","0.80","green","[Mild] AC/DCP比稍偏低(15.4)，最適Range 16.6~23.3@29X"
"2026-02-26","3000","黑","production","12.5","","","10","","","10.8","0.435","0.13","0.03","0.02","4","0.85","EVA-8503_1.33_cb37","0.85","","","","","","","","","0.16","","16","25","16.00","0.00","144.5","26","164","25","18","55","18.28","1.473","0.068","0.440","0.102","0.858","0.858","125.8","1.101","1.006","0.692","1.277","0.867","1.101","1.0558","0.0378","27.75","92","1","100","128","eva_ldpe","78","1.000","0.999","0.743","0.779","0.945","1.000","","","","","2.17","green","[Mild] AC/DCP比稍偏低(15.5)，最適Range 16.0~22.8@28X"
"2026-02-26","3000","白","production","12.8","","","10","","","11.2","0.455","0.135","0.03","0.02","4","","EVA-5504N-1_1.506_org23","0.002","","","","","","","","0.5","0.16","","16","25","16.00","0.00","144.5","26","164","25","18","55","19.05","1.548","0.068","0.459","0.102","0.845","0.845","132.0","1.154","1.003","0.784","1.348","0.953","1.178","1.0628","0.0367","28.61","92","1","100","129","eva_ldpe","68","0.999","0.963","0.753","0.654","0.763","1.000","","","","","3.11","yellow","[Mild] AC/DCP比稍偏低(15.1)，最適Range 16.3~23.1@29X"
"2026-02-25","312","黑","production","20.5","","","7","","13.5","","0.53","0.145","0.025","0.02","4","0.65","EVA-8503_1.33_cb37","0.65","","","","","","","","","0.16","","16","25","16.00","0.00","140.1","26","164","25","18","55","18.89","1.483","0.056","0.406","0.070","0.842","0.842","132.9","1.187","1.003","0.784","1.348","0.953","1.178","1.0468","0.0354","29.75","92","1","100","125","eva_ldpe","84","0.987","0.967","0.762","0.997","0.969","0.970","","","","","0.95","green","[Mild] AC/DCP比稍偏低(16.2)，最適Range 16.8~23.5@30X"
"2026-02-25","4000","黑","production","23","","","10","","","16","0.58","0.16","0.025","0.02","4","0.7","EVA-8503_1.33_cb37","0.7","","","","","","","","","0.16","","16","25","16.00","0.00","142","26","164","25","18","55","18.81","1.364","0.047","0.376","0.059","0.893","0.893","116.6","0.988","1.005","0.662","1.223","0.831","1.055","1.0416","0.0346","31.13","96","0","100","125","eva_ldpe","39","0.945","0.187","0.717","0.834","0.996","1.000","","","","","2.51","yellow",""
"2026-02-26","460","黑","production","2","","22","5","","16","","0.5","0.17","0.025","0.04","5","0.7","EVA-8503_1.33_cb37","0.7","","","","","","","","","0.16","","16","25","16.00","0.00","146.5","26","164","25","18","55","20.63","1.289","0.103","0.438","0.064","0.823","0.823","128.3","1.164","1.001","0.784","1.348","0.953","1.178","1.0512","0.0408","25.45","96","1","100","128","eva_ldpe","78","0.969","0.994","0.775","0.885","0.778","1.000","","","","","1.29","green","[Mild] AC/DCP比稍偏低(13.7)，最適Range 15.1~21.9@25X"
